City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
359,Kamaishi,JP,39.2667,141.8833,59.95,67,60,6.46,broken clouds
361,Vestmannaeyjar,IS,63.4427,-20.2734,44.24,72,33,22.24,scattered clouds
363,Taunggyi,MM,20.7833,97.0333,64.42,93,95,2.06,overcast clouds
365,Roanoke Rapids,US,36.4615,-77.6542,68.34,100,1,0.0,clear sky
367,Eten,PE,-6.9081,-79.8642,64.02,85,100,11.56,overcast clouds
369,Tocopilla,CL,-22.092,-70.1979,61.34,75,36,8.59,scattered clouds
371,Lavrentiya,RU,65.5833,-171.0,31.28,74,100,11.88,overcast clouds
373,Tigzirt,DZ,36.8886,4.1198,60.04,68,0,6.02,clear sky
375,Lebu,CL,-37.6167,-73.65,46.69,71,5,6.73,clear sky
377,Saint George,US,37.1041,-113.5841,66.63,28,1,1.99,clear sky
379,Bahia Blanca,AR,-38.7196,-62.2724,49.14,40,4,5.35,clear sky
381,Mecca,SA,21.4267,39.8261,82.74,33,0,3.24,clear sky
383,Zavyalovo,RU,54.5053,82.4484,27.25,79,5,7.65,clear sky
385,Hattiesburg,US,31.3271,-89.2903,79.29,83,40,3.44,scattered clouds
387,Kondinskoye,RU,59.6481,67.41,40.98,89,18,8.88,few clouds
389,Karratha,AU,-20.7377,116.8463,81.16,45,0,7.36,clear sky
391,Novooleksiyivka,UA,46.2269,34.6428,48.87,66,100,9.1,overcast clouds
393,The Valley,AI,18.217,-63.0578,82.26,77,100,11.5,overcast clouds
395,Ribeira Grande,PT,38.5167,-28.7,70.77,86,23,13.22,few clouds
397,Anantapur,IN,14.6833,77.6,77.83,76,91,1.39,overcast clouds
399,Whyalla,AU,-33.0333,137.5833,58.89,72,75,29.93,broken clouds
401,Talcahuano,CL,-36.7167,-73.1167,49.68,66,0,9.22,clear sky
403,Chokurdakh,RU,70.6333,147.9167,9.16,97,100,2.04,overcast clouds
405,Kloulklubed,PW,7.0419,134.2556,83.98,75,75,13.96,broken clouds
407,Campana,AR,-34.1687,-58.9591,58.08,60,87,7.63,overcast clouds
409,Asau,RO,46.4333,26.4,42.76,92,100,1.92,light rain
411,Hithadhoo,MV,-0.6,73.0833,83.35,77,95,23.4,overcast clouds
413,Tasiilaq,GL,65.6145,-37.6368,36.46,57,100,12.1,overcast clouds
415,Airai,TL,-8.9266,125.4092,76.37,52,62,0.09,broken clouds
417,Shetpe,KZ,44.1667,52.1167,53.46,24,26,6.58,scattered clouds
419,Egvekinot,RU,66.3167,-179.1667,17.71,81,97,8.77,overcast clouds
421,Nome,US,64.5011,-165.4064,35.17,76,100,3.49,overcast clouds
423,Talikota,IN,16.4833,76.3167,73.2,77,93,7.52,overcast clouds
425,Oktyabrskiy,RU,54.4815,53.471,47.46,37,90,12.77,overcast clouds
427,Armacao De Pera,PT,37.1026,-8.357,66.11,79,100,5.95,overcast clouds
429,Kenora,CA,49.8167,-94.4337,47.37,87,90,17.27,overcast clouds
431,Goderich,CA,43.7501,-81.7165,71.2,88,100,4.61,overcast clouds
433,Abha,SA,18.2164,42.5053,59.25,20,0,4.61,clear sky
435,Coquimbo,CL,-29.9533,-71.3436,56.93,67,0,10.36,clear sky
437,Helena,US,46.5927,-112.0361,40.77,52,3,11.01,clear sky
439,Boditi,ET,6.9667,37.8667,58.69,82,100,3.13,overcast clouds
441,Naliya,IN,23.2667,68.8333,77.94,61,0,7.94,clear sky
443,Pandan,PH,14.0453,124.1694,81.95,80,46,1.97,scattered clouds
445,Qax,AZ,41.4225,46.9242,58.33,59,0,2.8,clear sky
447,Suicheng,CN,33.8963,117.9331,63.41,81,75,9.78,light rain
449,Nantucket,US,41.2835,-70.0995,60.91,93,100,8.99,overcast clouds
451,Channel-Port Aux Basques,CA,47.5702,-59.1367,49.57,83,44,6.76,scattered clouds
453,Pemangkat,ID,1.1667,108.9667,82.89,77,100,2.59,light rain
455,Chuy,UY,-33.6971,-53.4616,61.11,94,100,4.5,overcast clouds
457,Naze,JP,28.3667,129.4833,79.72,77,32,7.61,scattered clouds
459,Dikson,RU,73.5069,80.5464,32.07,99,100,5.1,overcast clouds
461,Pemba,MZ,-12.974,40.5178,77.7,94,75,3.0,broken clouds
463,Ponnani,IN,10.767,75.9252,78.12,91,100,9.13,overcast clouds
465,Panama City,PA,8.9936,-79.5197,83.05,82,40,4.61,scattered clouds
467,Lodja,CD,-3.4833,23.4333,68.14,99,92,2.26,overcast clouds
469,Goleta,TN,36.8181,10.305,62.62,59,40,9.22,scattered clouds
